form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-593d4f9c36b3439aafe1905761869f36,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d4bc398fbe0f431393b94f919668f74f,Hair,14954,,cl-EV217
rec-ef2f3c46576443b2b9a55a74846bf530,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d4bc398fbe0f431393b94f919668f74f,Hair,14955,,cl-EV218
rec-68092471cb1f456cb277c1c6dd6e0ad2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d4bc398fbe0f431393b94f919668f74f,Tissue,14956,,cl-EV219
rec-961c63a0f0de4d5d90b55c88c595a506,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4b12d839f46b4dd5bc86ccff0eb037d1,Hair,14957,,cl-EV213
rec-79ca2a62ae324c118faeb281ac161e7b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4b12d839f46b4dd5bc86ccff0eb037d1,Hair,14958,,cl-EV214
rec-ce8cc1d32c204c6b92ebabf22a0e886e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4b12d839f46b4dd5bc86ccff0eb037d1,Tissue,14959,,cl-EV215
rec-ac362a5f598e4e1ca33e85701e708c4b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4b12d839f46b4dd5bc86ccff0eb037d1,Tooth,15343,,cl-EV216
rec-cc1e96110e314782b7eab99e4a4d435a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Hair,15339,,cl-EV210
rec-eec9cb5cfc2944298556dee788a6e5ec,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Hair,15340,,cl-EV211
rec-2e426abf3df246ae9a024fb98de68c57,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f5a097dea78742f784f8c4bb7ba5fe71,Tissue,15341,,cl-EV212
rec-970f83db0a3c4224ab2bf07fa2f13def,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Hair,14451,,cl-EV206
rec-6f3af63ba61c41d6baafa88f975f3207,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Hair,14452,,cl-EV207
rec-e1e758e108a64298a4c2ac088643cb84,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Tissue,14453,,cl-EV208
rec-7e68abb56bc34672a3f37512d6cb2d78,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3ecfe407fafa42a88d82ada261d08003,Tooth,14454,,cl-EV209
rec-ae114e5f05a346f8ae452f8fad703741,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-32e1d61c2b2b48088b1ce5cefdce76ef,Hair,14510,,cl-EV204
rec-ce7b165c6e6045e78c06c4a8d55b5bb2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-32e1d61c2b2b48088b1ce5cefdce76ef,Tissue,14511,,cl-EV205
